Loading flux matrix...
  Stars: 50287  |  Points per star: 1024

Training Model-A (SAP) on cuda...
  Epoch 01/50: loss = 0.374426
  Epoch 02/50: loss = 0.322809
  Epoch 03/50: loss = 0.319687
  Epoch 04/50: loss = 0.318341
  Epoch 05/50: loss = 0.317139
  Epoch 06/50: loss = 0.316166
  Epoch 07/50: loss = 0.315513
  Epoch 08/50: loss = 0.314651
  Epoch 09/50: loss = 0.314364
  Epoch 10/50: loss = 0.313723
  Epoch 11/50: loss = 0.313218
  Epoch 12/50: loss = 0.312842
  Epoch 13/50: loss = 0.312494
  Epoch 14/50: loss = 0.312123
  Epoch 15/50: loss = 0.311791
  Epoch 16/50: loss = 0.311560
  Epoch 17/50: loss = 0.311489
  Epoch 18/50: loss = 0.310864
  Epoch 19/50: loss = 0.310807
  Epoch 20/50: loss = 0.310632
  Epoch 21/50: loss = 0.310397
  Epoch 22/50: loss = 0.310415
  Epoch 23/50: loss = 0.310080
  Epoch 24/50: loss = 0.310002
  Epoch 25/50: loss = 0.309796
  Epoch 26/50: loss = 0.309632
  Epoch 27/50: loss = 0.309541
  Epoch 28/50: loss = 0.309396
  Epoch 29/50: loss = 0.309259
  Epoch 30/50: loss = 0.309192
  Epoch 31/50: loss = 0.309183
  Epoch 32/50: loss = 0.308793
  Epoch 33/50: loss = 0.308850
  Epoch 34/50: loss = 0.309196
  Epoch 35/50: loss = 0.308670
  Epoch 36/50: loss = 0.308619
  Epoch 37/50: loss = 0.308563
  Epoch 38/50: loss = 0.308353
  Epoch 39/50: loss = 0.308358
  Epoch 40/50: loss = 0.308301
  Epoch 41/50: loss = 0.308223
  Epoch 42/50: loss = 0.308097
  Epoch 43/50: loss = 0.308090
  Epoch 44/50: loss = 0.307979
  Epoch 45/50: loss = 0.307813
  Epoch 46/50: loss = 0.307918
  Epoch 47/50: loss = 0.307771
  Epoch 48/50: loss = 0.307722
  Epoch 49/50: loss = 0.307559
  Epoch 50/50: loss = 0.307604
  Model saved to results/autoencoder_sap.pt

Training Model-B (delta) on cuda...
  Epoch 01/50: loss = 0.251580
  Epoch 02/50: loss = 0.177491
  Epoch 03/50: loss = 0.171795
  Epoch 04/50: loss = 0.166625
  Epoch 05/50: loss = 0.164499
  Epoch 06/50: loss = 0.161984
  Epoch 07/50: loss = 0.160316
  Epoch 08/50: loss = 0.159185
  Epoch 09/50: loss = 0.158130
  Epoch 10/50: loss = 0.157441
  Epoch 11/50: loss = 0.156388
  Epoch 12/50: loss = 0.155541
  Epoch 13/50: loss = 0.155125
  Epoch 14/50: loss = 0.154459
  Epoch 15/50: loss = 0.154047
  Epoch 16/50: loss = 0.153392
  Epoch 17/50: loss = 0.153023
  Epoch 18/50: loss = 0.152520
  Epoch 19/50: loss = 0.152440
  Epoch 20/50: loss = 0.151801
  Epoch 21/50: loss = 0.151683
  Epoch 22/50: loss = 0.151330
  Epoch 23/50: loss = 0.151032
  Epoch 24/50: loss = 0.150948
  Epoch 25/50: loss = 0.150722
  Epoch 26/50: loss = 0.150630
  Epoch 27/50: loss = 0.150171
  Epoch 28/50: loss = 0.150052
  Epoch 29/50: loss = 0.149991
  Epoch 30/50: loss = 0.149757
  Epoch 31/50: loss = 0.149975
  Epoch 32/50: loss = 0.149211
  Epoch 33/50: loss = 0.149187
  Epoch 34/50: loss = 0.149230
  Epoch 35/50: loss = 0.149055
  Epoch 36/50: loss = 0.148990
  Epoch 37/50: loss = 0.148814
  Epoch 38/50: loss = 0.148723
  Epoch 39/50: loss = 0.148672
  Epoch 40/50: loss = 0.148375
  Epoch 41/50: loss = 0.148443
  Epoch 42/50: loss = 0.148301
  Epoch 43/50: loss = 0.148157
  Epoch 44/50: loss = 0.148073
  Epoch 45/50: loss = 0.147927
  Epoch 46/50: loss = 0.147886
  Epoch 47/50: loss = 0.147879
  Epoch 48/50: loss = 0.147752
  Epoch 49/50: loss = 0.147897
  Epoch 50/50: loss = 0.147542
  Model saved to results/autoencoder_delta.pt

recon_error_sap: mean=0.30690  std=0.19710  P99=0.64074  (503 stars above P99)

recon_error_delta: mean=0.14655  std=0.07216  P99=0.34598  (503 stars above P99)

combined_score: mean=0.40948  std=0.17627  P99=0.82185  (503 stars above P99)

Done. Outputs:
  results/autoencoder_sap.pt
  results/autoencoder_delta.pt
  results/latent_sap.parquet
  results/latent_delta.parquet
  results/reconstruction_errors.parquet
